timestamp,data
0,736
1,720
2,721
3,710
4,711
5,704
6,706
7,704
8,713
9,727
10,732
11,734
12,744
13,746
14,745
15,744
16,742
17,731
18,725
19,717
20,710
21,705
22,707
23,712
24,710
25,716
26,723
27,734
28,738
29,744
30,741
31,746
32,750
33,736
34,729
35,724
36,716
37,707
38,706
39,708
40,707
41,712
42,720
43,732
44,742
45,738
46,747
47,747
48,742
49,740
50,734
51,726
52,722
53,706
54,708
55,701
56,710
57,708
58,718
59,727
60,732
61,742
62,742
63,746
64,746
65,746
66,734
67,731
68,722
69,718
70,706
71,703
72,710
73,706
74,707
75,723
76,724
77,733
78,742
79,745
80,744
81,746
82,743
83,740
84,722
85,721
86,712
87,713
88,703
89,709
90,710
91,715
92,723
93,730
94,740
95,745
96,744
97,750
98,748
99,735
100,730
101,726
102,719
103,709
104,704
105,705
106,709
107,712
108,717
109,730
110,734
111,742
112,749
113,743
114,743
115,743
116,736
117,726
118,720
119,717
120,714
121,704
122,705
123,708
124,708
125,718
126,732
127,736
128,746
129,746
130,746
131,748
132,735
133,731
134,725
135,716
136,709
137,702
138,710
139,706
140,710
141,718
142,722
143,735
144,743
145,740
146,742
147,746
148,745
149,732
150,730
151,720
152,714
153,710
154,700
155,708
156,706
157,714
158,718
159,728
160,734
161,740
162,750
163,743
164,742
165,744
166,736
167,726
168,718
169,714
170,708
171,704
172,704
173,708
174,717
175,726
176,736
177,736
178,747
179,750
180,744
181,745
182,737
183,733
184,726
185,714
186,712
187,704
188,711
189,713
190,708
191,720
192,730
193,738
194,741
195,739
196,746
197,748
198,738
199,729
200,733
201,725
202,720
203,709
204,702
205,706
206,708
207,714
208,719
209,730
210,737
211,744
212,752
213,742
214,745
215,745
216,734
217,720
218,720
219,713
220,710
221,710
222,708
223,710
224,715
225,729
226,734
227,738
228,744
229,745
230,750
231,743
232,738
233,728
234,718
235,714
236,712
237,706
238,706
239,706
240,710
241,721
242,733
243,737
244,743
245,744
246,746
247,743
248,744
249,740
250,726
251,715
252,711
253,707
254,704
255,710
