timestamp,data
0,705
1,708
2,710
3,714
4,719
5,726
6,734
7,740
8,744
9,748
10,747
11,744
12,732
13,728
14,721
15,712
16,709
17,704
18,700
19,707
20,711
21,726
22,737
23,740
24,744
25,745
26,745
27,742
28,743
29,733
30,720
31,715
32,715
33,706
34,710
35,714
36,712
37,720
38,725
39,733
40,740
41,741
42,746
43,746
44,744
45,736
46,731
47,722
48,716
49,707
50,706
51,707
52,709
53,710
54,720
55,727
56,740
57,746
58,743
59,747
60,746
61,741
62,726
63,722
64,718
65,713
66,710
67,712
68,711
69,708
70,718
71,728
72,737
73,744
74,744
75,742
76,741
77,745
78,736
79,728
80,720
81,715
82,705
83,708
84,712
85,710
86,710
87,725
88,727
89,737
90,742
91,747
92,745
93,752
94,739
95,731
96,723
97,714
98,707
99,707
100,710
101,706
102,710
103,716
104,724
105,733
106,736
107,743
108,743
109,744
110,747
111,740
112,732
113,717
114,710
115,706
116,708
117,710
118,712
119,713
120,724
121,732
122,736
123,744
124,750
125,747
126,743
127,740
128,732
129,725
130,722
131,711
132,706
133,704
134,706
135,705
136,713
137,724
138,734
139,736
140,741
141,744
142,744
143,750
144,741
145,728
146,721
147,711
148,707
149,711
150,707
151,706
152,709
153,716
154,725
155,735
156,742
157,742
158,747
159,750
160,742
161,740
162,726
163,717
164,717
165,709
166,710
167,706
168,710
169,718
170,724
171,732
172,732
173,745
174,746
175,745
176,745
177,740
178,732
179,726
180,712
181,707
182,711
183,708
184,708
185,708
186,720
187,729
188,733
189,744
190,748
191,751
192,748
193,745
194,734
195,733
196,720
197,716
198,716
199,707
200,706
201,705
202,708
203,721
204,734
205,738
206,738
207,742
208,748
209,739
210,749
211,730
212,724
213,718
214,716
215,709
216,710
217,705
218,706
219,714
220,724
221,738
222,739
223,738
224,744
225,746
226,745
227,738
228,728
229,720
230,718
231,708
232,708
233,712
234,709
235,711
236,716
237,730
238,732
239,742
240,749
241,742
242,745
243,744
244,737
245,728
246,718
247,710
248,704
249,705
250,707
251,710
252,711
253,727
254,729
255,738
