timestamp,data
0,721
1,728
2,727
3,727
4,723
5,728
6,732
7,724
8,724
9,729
10,725
11,731
12,726
13,723
14,730
15,725
16,726
17,728
18,728
19,727
20,729
21,725
22,724
23,728
24,727
25,728
26,728
27,728
28,726
29,727
30,725
31,724
32,729
33,726
34,728
35,729
36,724
37,731
38,726
39,731
40,722
41,727
42,727
43,725
44,732
45,729
46,724
47,729
48,724
49,723
50,729
51,729
52,725
53,732
54,723
55,727
56,726
57,725
58,733
59,732
60,727
61,730
62,727
63,726
64,726
65,725
66,725
67,730
68,724
69,724
70,728
71,723
72,732
73,721
74,724
75,729
76,725
77,728
78,724
79,724
80,727
81,726
82,725
83,731
84,727
85,725
86,725
87,728
88,732
89,723
90,728
91,727
92,726
93,731
94,726
95,728
96,732
97,722
98,725
99,726
100,727
101,729
102,725
103,730
104,727
105,728
106,728
107,726
108,727
109,726
110,731
111,727
112,729
113,728
114,729
115,723
116,724
117,728
118,728
119,727
120,721
121,723
122,725
123,725
124,730
125,723
126,728
127,727
128,726
129,729
130,729
131,724
132,727
133,733
134,722
135,730
136,730
137,724
138,728
139,724
140,728
141,726
142,728
143,728
144,727
145,722
146,730
147,724
148,727
149,729
150,733
151,730
152,728
153,730
154,730
155,722
156,725
157,728
158,725
159,727
160,727
161,727
162,728
163,727
164,728
165,728
166,724
167,725
168,727
169,731
170,726
171,730
172,726
173,728
174,728
175,726
176,727
177,726
178,726
179,730
180,722
181,725
182,731
183,727
184,725
185,727
186,728
187,722
188,728
189,723
190,731
191,727
192,727
193,729
194,724
195,732
196,724
197,726
198,733
199,723
200,725
201,730
202,730
203,727
204,735
205,727
206,730
207,731
208,728
209,728
210,732
211,724
212,731
213,718
214,727
215,732
216,726
217,721
218,729
219,726
220,726
221,733
222,726
223,728
224,729
225,726
226,735
227,726
228,727
229,726
230,726
231,730
232,728
233,728
234,731
235,722
236,730
237,730
238,728
239,730
240,728
241,728
242,727
243,727
244,724
245,732
246,726
247,727
248,730
249,727
250,726
251,721
252,724
253,729
254,722
255,722
