timestamp,data
0,729
1,724
2,730
3,724
4,726
5,730
6,728
7,723
8,724
9,727
10,720
11,728
12,730
13,724
14,725
15,729
16,727
17,726
18,728
19,731
20,725
21,729
22,724
23,726
24,728
25,727
26,731
27,726
28,729
29,728
30,725
31,727
32,730
33,727
34,723
35,726
36,726
37,722
38,723
39,729
40,724
41,732
42,730
43,728
44,730
45,723
46,733
47,724
48,728
49,729
50,727
51,727
52,727
53,733
54,726
55,727
56,728
57,723
58,722
59,724
60,729
61,724
62,726
63,728
64,730
65,721
66,720
67,731
68,727
69,727
70,734
71,725
72,726
73,724
74,723
75,725
76,733
77,727
78,725
79,724
80,730
81,729
82,729
83,724
84,726
85,733
86,720
87,728
88,728
89,722
90,730
91,730
92,725
93,723
94,729
95,727
96,725
97,730
98,722
99,726
100,730
101,726
102,724
103,724
104,727
105,724
106,728
107,724
108,724
109,727
110,733
111,724
112,726
113,728
114,723
115,727
116,731
117,727
118,727
119,728
120,727
121,723
122,726
123,734
124,725
125,728
126,724
127,725
128,726
129,728
130,726
131,728
132,730
133,725
134,725
135,726
136,729
137,725
138,727
139,725
140,732
141,726
142,725
143,731
144,728
145,729
146,726
147,725
148,724
149,728
150,728
151,721
152,726
153,732
154,725
155,729
156,729
157,720
158,724
159,729
160,725
161,727
162,729
163,725
164,727
165,727
166,731
167,726
168,728
169,728
170,730
171,726
172,724
173,725
174,724
175,729
176,731
177,724
178,723
179,727
180,725
181,723
182,725
183,728
184,726
185,731
186,727
187,722
188,729
189,729
190,726
191,728
192,727
193,729
194,730
195,725
196,726
197,725
198,727
199,731
200,728
201,727
202,728
203,734
204,726
205,726
206,729
207,724
208,727
209,728
210,722
211,731
212,733
213,724
214,722
215,723
216,724
217,729
218,732
219,726
220,732
221,730
222,723
223,728
224,728
225,730
226,727
227,726
228,727
229,727
230,723
231,724
232,730
233,723
234,728
235,727
236,725
237,726
238,724
239,727
240,724
241,732
242,727
243,721
244,727
245,729
246,725
247,732
248,733
249,724
250,724
251,727
252,725
253,731
254,733
255,726
