timestamp,data
0,727
1,719
2,713
3,704
4,705
5,707
6,706
7,719
8,730
9,736
10,739
11,747
12,750
13,742
14,745
15,740
16,729
17,721
18,715
19,708
20,710
21,704
22,705
23,712
24,722
25,726
26,734
27,745
28,744
29,743
30,746
31,733
32,733
33,729
34,717
35,712
36,710
37,709
38,706
39,709
40,716
41,723
42,728
43,737
44,742
45,742
46,750
47,744
48,739
49,733
50,719
51,717
52,711
53,708
54,707
55,710
56,713
57,722
58,730
59,737
60,743
61,747
62,747
63,745
64,740
65,736
66,726
67,715
68,715
69,712
70,704
71,705
72,710
73,722
74,717
75,732
76,738
77,739
78,744
79,755
80,743
81,742
82,737
83,722
84,715
85,712
86,710
87,712
88,705
89,708
90,717
91,723
92,734
93,737
94,745
95,744
96,743
97,740
98,738
99,730
100,719
101,708
102,709
103,708
104,708
105,708
106,707
107,717
108,738
109,735
110,739
111,750
112,742
113,744
114,744
115,731
116,724
117,716
118,715
119,706
120,706
121,708
122,714
123,723
124,725
125,735
126,739
127,738
128,745
129,745
130,748
131,740
132,730
133,720
134,713
135,706
136,708
137,708
138,701
139,712
140,724
141,727
142,737
143,746
144,739
145,748
146,750
147,744
148,737
149,727
150,725
151,719
152,707
153,708
154,705
155,716
156,718
157,725
158,735
159,742
160,743
161,744
162,747
163,747
164,738
165,734
166,719
167,715
168,712
169,702
170,698
171,707
172,713
173,715
174,728
175,738
176,741
177,743
178,748
179,751
180,742
181,729
182,727
183,722
184,714
185,711
186,707
187,710
188,706
189,714
190,723
191,735
192,736
193,746
194,750
195,741
196,741
197,742
198,733
199,723
200,715
201,716
202,706
203,706
204,708
205,713
206,712
207,725
208,738
209,738
210,742
211,745
212,745
213,742
214,742
215,732
216,714
217,713
218,713
219,709
220,704
221,704
222,711
223,725
224,732
225,738
226,738
227,742
228,750
229,747
230,740
231,735
232,727
233,717
234,709
235,705
236,710
237,714
238,709
239,710
240,723
241,734
242,738
243,742
244,748
245,747
246,740
247,736
248,732
249,719
250,714
251,712
252,706
253,708
254,709
255,712
