timestamp,data
0,728
1,723
2,725
3,726
4,726
5,727
6,725
7,726
8,726
9,726
10,727
11,727
12,726
13,725
14,726
15,724
16,727
17,728
18,726
19,726
20,726
21,723
22,730
23,728
24,723
25,726
26,728
27,718
28,730
29,725
30,723
31,727
32,726
33,731
34,730
35,729
36,721
37,725
38,723
39,727
40,729
41,725
42,725
43,730
44,727
45,725
46,728
47,726
48,725
49,726
50,723
51,726
52,726
53,725
54,726
55,727
56,726
57,728
58,722
59,724
60,724
61,728
62,727
63,731
64,718
65,722
66,729
67,729
68,727
69,731
70,730
71,727
72,729
73,722
74,724
75,730
76,725
77,723
78,727
79,720
80,729
81,733
82,724
83,728
84,726
85,725
86,725
87,728
88,724
89,726
90,733
91,725
92,722
93,736
94,725
95,728
96,728
97,727
98,730
99,726
100,726
101,727
102,723
103,726
104,732
105,726
106,727
107,725
108,727
109,726
110,726
111,723
112,727
113,724
114,723
115,728
116,732
117,725
118,727
119,728
120,728
121,730
122,732
123,723
124,729
125,727
126,728
127,727
128,721
129,726
130,723
131,724
132,724
133,731
134,728
135,727
136,731
137,724
138,726
139,731
140,727
141,727
142,726
143,725
144,732
145,727
146,726
147,729
148,730
149,722
150,731
151,731
152,723
153,725
154,723
155,726
156,726
157,730
158,724
159,730
160,726
161,728
162,728
163,725
164,725
165,723
166,725
167,727
168,728
169,728
170,724
171,723
172,725
173,725
174,727
175,723
176,726
177,733
178,725
179,726
180,724
181,728
182,726
183,724
184,724
185,727
186,730
187,728
188,728
189,724
190,726
191,731
192,725
193,723
194,727
195,727
196,732
197,731
198,728
199,728
200,731
201,721
202,729
203,727
204,721
205,724
206,733
207,724
208,725
209,728
210,728
211,726
212,730
213,723
214,725
215,725
216,725
217,725
218,731
219,725
220,726
221,729
222,723
223,733
224,725
225,726
226,731
227,731
228,725
229,726
230,728
231,728
232,726
233,727
234,721
235,728
236,731
237,727
238,724
239,731
240,726
241,726
242,730
243,720
244,724
245,730
246,724
247,729
248,732
249,725
250,727
251,725
252,724
253,729
254,729
255,727
