timestamp,data
0,718
1,732
2,722
3,730
4,722
5,728
6,726
7,719
8,724
9,728
10,723
11,730
12,727
13,726
14,727
15,729
16,726
17,724
18,734
19,724
20,726
21,724
22,724
23,729
24,734
25,722
26,725
27,730
28,722
29,729
30,726
31,724
32,728
33,727
34,725
35,727
36,727
37,729
38,728
39,727
40,726
41,730
42,726
43,728
44,728
45,726
46,732
47,728
48,724
49,735
50,724
51,729
52,728
53,723
54,727
55,728
56,727
57,732
58,733
59,719
60,731
61,728
62,729
63,727
64,728
65,729
66,730
67,722
68,725
69,725
70,725
71,730
72,726
73,726
74,731
75,729
76,726
77,727
78,726
79,727
80,729
81,727
82,730
83,726
84,724
85,728
86,731
87,725
88,731
89,728
90,726
91,724
92,731
93,726
94,732
95,726
96,725
97,727
98,727
99,728
100,730
101,729
102,727
103,729
104,723
105,733
106,726
107,726
108,730
109,725
110,728
111,730
112,724
113,725
114,726
115,723
116,725
117,726
118,722
119,730
120,729
121,727
122,724
123,730
124,724
125,727
126,729
127,724
128,730
129,720
130,728
131,736
132,727
133,727
134,730
135,724
136,732
137,727
138,723
139,728
140,731
141,728
142,724
143,730
144,724
145,724
146,731
147,726
148,731
149,731
150,726
151,726
152,727
153,728
154,728
155,724
156,729
157,728
158,727
159,726
160,724
161,727
162,732
163,723
164,731
165,724
166,730
167,726
168,725
169,728
170,728
171,725
172,724
173,727
174,727
175,726
176,726
177,730
178,719
179,728
180,734
181,720
182,724
183,723
184,729
185,730
186,727
187,726
188,728
189,726
190,726
191,725
192,723
193,727
194,726
195,725
196,725
197,733
198,726
199,728
200,723
201,727
202,726
203,734
204,722
205,728
206,732
207,723
208,729
209,727
210,725
211,730
212,730
213,723
214,724
215,726
216,726
217,726
218,732
219,729
220,727
221,725
222,723
223,731
224,725
225,731
226,726
227,723
228,727
229,732
230,720
231,725
232,729
233,725
234,726
235,723
236,727
237,726
238,726
239,727
240,723
241,727
242,724
243,727
244,729
245,730
246,726
247,726
248,730
249,722
250,728
251,727
252,728
253,718
254,723
255,724
