timestamp,data
0,734
1,728
2,718
3,716
4,714
5,707
6,701
7,709
8,716
9,723
10,732
11,734
12,742
13,745
14,740
15,746
16,739
17,724
18,724
19,718
20,710
21,706
22,708
23,710
24,709
25,716
26,723
27,735
28,744
29,741
30,742
31,751
32,745
33,735
34,729
35,720
36,715
37,707
38,705
39,704
40,712
41,708
42,720
43,732
44,740
45,738
46,746
47,750
48,744
49,740
50,735
51,725
52,717
53,715
54,706
55,701
56,702
57,709
58,717
59,730
60,730
61,740
62,743
63,747
64,743
65,748
66,736
67,734
68,723
69,714
70,707
71,701
72,708
73,708
74,708
75,718
76,729
77,739
78,740
79,750
80,742
81,745
82,742
83,735
84,731
85,721
86,710
87,706
88,707
89,705
90,704
91,716
92,723
93,732
94,741
95,747
96,747
97,746
98,745
99,741
100,730
101,726
102,716
103,710
104,715
105,714
106,707
107,707
108,715
109,725
110,739
111,738
112,742
113,746
114,744
115,745
116,736
117,729
118,718
119,715
120,711
121,713
122,701
123,706
124,710
125,729
126,725
127,736
128,746
129,745
130,747
131,745
132,735
133,738
134,728
135,714
136,709
137,709
138,711
139,703
140,710
141,716
142,724
143,733
144,738
145,744
146,741
147,744
148,746
149,733
150,731
151,729
152,712
153,711
154,707
155,710
156,706
157,710
158,722
159,734
160,731
161,741
162,748
163,745
164,744
165,746
166,734
167,728
168,719
169,718
170,706
171,704
172,703
173,710
174,719
175,722
176,732
177,736
178,748
179,747
180,746
181,744
182,736
183,730
184,726
185,713
186,708
187,708
188,706
189,708
190,708
191,720
192,732
193,730
194,736
195,746
196,743
197,745
198,750
199,734
200,727
201,723
202,715
203,711
204,703
205,705
206,704
207,712
208,722
209,726
210,735
211,742
212,747
213,741
214,750
215,738
216,731
217,721
218,716
219,716
220,710
221,704
222,706
223,709
224,714
225,720
226,734
227,740
228,747
229,744
230,746
231,748
232,740
233,732
234,727
235,718
236,706
237,704
238,704
239,704
240,712
241,720
242,728
243,734
244,742
245,751
246,747
247,744
248,746
249,737
250,722
251,718
252,712
253,706
254,705
255,707
