timestamp,data
0,724
1,717
2,707
3,711
4,714
5,705
6,706
7,716
8,737
9,738
10,744
11,747
12,750
13,738
14,745
15,736
16,725
17,721
18,719
19,712
20,703
21,708
22,708
23,713
24,723
25,726
26,737
27,740
28,747
29,750
30,741
31,740
32,729
33,718
34,716
35,715
36,709
37,703
38,710
39,707
40,716
41,727
42,730
43,738
44,746
45,742
46,745
47,747
48,735
49,732
50,726
51,713
52,707
53,705
54,703
55,709
56,712
57,718
58,727
59,738
60,741
61,747
62,747
63,744
64,744
65,737
66,728
67,716
68,710
69,709
70,708
71,707
72,708
73,715
74,726
75,730
76,737
77,748
78,741
79,745
80,744
81,740
82,727
83,729
84,715
85,705
86,700
87,705
88,707
89,703
90,720
91,730
92,735
93,736
94,745
95,744
96,745
97,745
98,738
99,723
100,715
101,714
102,717
103,713
104,706
105,704
106,713
107,725
108,728
109,741
110,743
111,747
112,747
113,748
114,734
115,736
116,726
117,715
118,707
119,706
120,711
121,711
122,708
123,719
124,723
125,738
126,737
127,742
128,744
129,739
130,744
131,739
132,725
133,723
134,714
135,711
136,705
137,705
138,712
139,715
140,724
141,730
142,740
143,736
144,744
145,748
146,746
147,737
148,737
149,720
150,712
151,716
152,706
153,705
154,703
155,709
156,718
157,727
158,734
159,743
160,741
161,747
162,743
163,740
164,735
165,728
166,722
167,715
168,710
169,705
170,704
171,708
172,707
173,716
174,728
175,737
176,743
177,740
178,751
179,744
180,738
181,739
182,726
183,720
184,712
185,709
186,710
187,703
188,704
189,716
190,725
191,735
192,738
193,743
194,748
195,751
196,746
197,747
198,730
199,726
200,714
201,710
202,703
203,707
204,715
205,713
206,714
207,727
208,734
209,737
210,749
211,742
212,739
213,740
214,737
215,725
216,720
217,722
218,712
219,704
220,703
221,706
222,715
223,724
224,730
225,741
226,746
227,742
228,744
229,748
230,739
231,729
232,727
233,716
234,709
235,703
236,712
237,708
238,709
239,720
240,730
241,735
242,738
243,745
244,747
245,741
246,742
247,740
248,719
249,716
250,719
251,713
252,706
253,706
254,707
255,715
