timestamp,data
0,754
1,765
2,755
3,758
4,754
5,740
6,736
7,733
8,727
9,717
10,716
11,720
12,726
13,734
14,740
15,743
16,753
17,754
18,756
19,763
20,748
21,747
22,742
23,731
24,722
25,722
26,723
27,717
28,718
29,732
30,734
31,746
32,755
33,759
34,759
35,759
36,755
37,751
38,740
39,733
40,732
41,719
42,724
43,719
44,715
45,726
46,731
47,733
48,749
49,752
50,758
51,757
52,761
53,750
54,747
55,740
56,734
57,728
58,723
59,721
60,725
61,723
62,727
63,735
64,742
65,748
66,756
67,758
68,759
69,761
70,754
71,745
72,736
73,728
74,723
75,720
76,718
77,718
78,726
79,728
80,734
81,747
82,746
83,757
84,756
85,758
86,760
87,744
88,744
89,736
90,726
91,726
92,723
93,719
94,720
95,730
96,736
97,738
98,749
99,758
100,756
101,764
102,754
103,758
104,748
105,733
106,732
107,728
108,721
109,719
110,720
111,729
112,729
113,736
114,744
115,742
116,755
117,752
118,758
119,758
120,750
121,744
122,744
123,729
124,724
125,718
126,717
127,720
128,731
129,731
130,740
131,755
132,750
133,761
134,759
135,758
136,749
137,747
138,743
139,731
140,729
141,726
142,717
143,718
144,724
145,733
146,738
147,743
148,751
149,753
150,759
151,758
152,760
153,752
154,742
155,739
156,729
157,724
158,721
159,718
160,715
161,723
162,736
163,741
164,745
165,759
166,754
167,757
168,762
169,754
170,747
171,738
172,732
173,737
174,720
175,718
176,722
177,722
178,729
179,731
180,740
181,744
182,754
183,758
184,754
185,757
186,751
187,742
188,739
189,734
190,728
191,717
192,718
193,720
194,730
195,729
196,736
197,743
198,757
199,753
200,755
201,756
202,749
203,752
204,745
205,733
206,729
207,726
208,724
209,716
210,722
211,734
212,733
213,742
214,750
215,756
216,756
217,754
218,760
219,753
220,743
221,741
222,735
223,726
224,717
225,720
226,722
227,723
228,727
229,737
230,751
231,747
232,759
233,760
234,755
235,754
236,758
237,746
238,736
239,730
240,722
241,720
242,719
243,723
244,727
245,728
246,740
247,746
248,755
249,758
250,762
251,758
252,757
253,753
254,740
255,732
