timestamp,data
0,739
1,735
2,728
3,719
4,711
5,706
6,708
7,708
8,713
9,714
10,729
11,738
12,738
13,744
14,749
15,743
16,742
17,738
18,731
19,715
20,712
21,712
22,708
23,705
24,706
25,714
26,723
27,729
28,734
29,739
30,747
31,743
32,744
33,740
34,745
35,733
36,716
37,714
38,708
39,708
40,710
41,708
42,717
43,731
44,733
45,735
46,745
47,742
48,741
49,741
50,737
51,731
52,718
53,712
54,710
55,710
56,707
57,702
58,705
59,721
60,734
61,731
62,738
63,748
64,749
65,738
66,745
67,733
68,729
69,716
70,712
71,708
72,703
73,705
74,709
75,714
76,727
77,725
78,737
79,744
80,745
81,745
82,746
83,743
84,731
85,719
86,718
87,716
88,707
89,703
90,708
91,713
92,725
93,722
94,730
95,741
96,743
97,738
98,740
99,743
100,733
101,726
102,723
103,716
104,710
105,706
106,705
107,709
108,713
109,717
110,730
111,739
112,740
113,742
114,750
115,743
116,742
117,735
118,728
119,716
120,713
121,713
122,706
123,706
124,708
125,722
126,719
127,731
128,738
129,741
130,743
131,747
132,741
133,734
134,737
135,722
136,714
137,712
138,707
139,708
140,704
141,709
142,721
143,730
144,739
145,740
146,745
147,746
148,750
149,739
150,736
151,726
152,714
153,712
154,715
155,707
156,706
157,707
158,715
159,728
160,731
161,735
162,747
163,741
164,742
165,749
166,740
167,725
168,722
169,712
170,715
171,710
172,704
173,707
174,711
175,720
176,732
177,733
178,740
179,749
180,749
181,745
182,746
183,739
184,728
185,716
186,714
187,708
188,713
189,705
190,702
191,716
192,724
193,729
194,732
195,740
196,744
197,746
198,742
199,745
200,732
201,721
202,714
203,713
204,707
205,706
206,704
207,709
208,716
209,726
210,736
211,740
212,744
213,749
214,739
215,743
216,737
217,727
218,721
219,719
220,709
221,706
222,706
223,711
224,716
225,721
226,727
227,737
228,741
229,747
230,746
231,750
232,740
233,731
234,730
235,721
236,714
237,706
238,706
239,709
240,708
241,713
242,728
243,733
244,737
245,741
246,743
247,745
248,747
249,732
250,731
251,720
252,718
253,713
254,704
255,703
