timestamp,data
0,730
1,727
2,724
3,724
4,724
5,732
6,726
7,727
8,724
9,725
10,734
11,728
12,724
13,726
14,726
15,727
16,730
17,718
18,729
19,731
20,725
21,726
22,721
23,722
24,724
25,726
26,727
27,724
28,727
29,730
30,721
31,724
32,730
33,728
34,726
35,728
36,724
37,727
38,731
39,720
40,728
41,729
42,724
43,726
44,728
45,726
46,727
47,728
48,724
49,726
50,727
51,725
52,727
53,722
54,725
55,728
56,726
57,722
58,730
59,725
60,729
61,732
62,723
63,730
64,724
65,725
66,728
67,724
68,729
69,728
70,722
71,722
72,731
73,720
74,728
75,734
76,726
77,729
78,726
79,721
80,722
81,728
82,722
83,732
84,733
85,726
86,726
87,728
88,724
89,731
90,726
91,728
92,725
93,725
94,727
95,731
96,724
97,728
98,728
99,726
100,731
101,727
102,728
103,730
104,725
105,726
106,729
107,723
108,727
109,730
110,719
111,727
112,731
113,727
114,727
115,730
116,719
117,730
118,729
119,724
120,726
121,723
122,726
123,724
124,730
125,729
126,732
127,726
128,727
129,727
130,724
131,733
132,724
133,728
134,728
135,723
136,727
137,727
138,727
139,724
140,728
141,724
142,727
143,729
144,727
145,733
146,724
147,721
148,724
149,722
150,723
151,728
152,726
153,726
154,728
155,724
156,723
157,731
158,730
159,724
160,733
161,728
162,722
163,729
164,721
165,726
166,722
167,732
168,732
169,726
170,729
171,728
172,726
173,726
174,732
175,729
176,728
177,727
178,720
179,727
180,731
181,728
182,731
183,734
184,719
185,726
186,730
187,723
188,724
189,730
190,728
191,728
192,728
193,729
194,724
195,723
196,723
197,724
198,730
199,726
200,727
201,728
202,729
203,727
204,729
205,730
206,723
207,729
208,726
209,727
210,723
211,730
212,727
213,729
214,730
215,724
216,728
217,729
218,726
219,728
220,728
221,726
222,728
223,728
224,725
225,726
226,726
227,722
228,731
229,726
230,728
231,728
232,724
233,726
234,727
235,728
236,724
237,732
238,721
239,729
240,724
241,725
242,730
243,732
244,719
245,724
246,729
247,723
248,730
249,726
250,727
251,728
252,725
253,727
254,726
255,730
