timestamp,data
0,740
1,742
2,748
3,748
4,741
5,731
6,727
7,718
8,706
9,709
10,707
11,710
12,706
13,717
14,724
15,733
16,738
17,741
18,748
19,745
20,742
21,738
22,730
23,718
24,715
25,711
26,706
27,700
28,707
29,712
30,725
31,725
32,737
33,741
34,741
35,751
36,749
37,742
38,733
39,728
40,712
41,711
42,712
43,710
44,712
45,704
46,713
47,721
48,728
49,739
50,741
51,747
52,740
53,747
54,740
55,726
56,723
57,715
58,708
59,706
60,706
61,710
62,705
63,715
64,728
65,732
66,740
67,745
68,750
69,746
70,748
71,737
72,722
73,721
74,718
75,710
76,704
77,703
78,710
79,711
80,719
81,729
82,740
83,744
84,741
85,747
86,746
87,743
88,736
89,724
90,716
91,714
92,710
93,706
94,707
95,707
96,719
97,720
98,731
99,744
100,744
101,746
102,750
103,740
104,740
105,733
106,720
107,711
108,711
109,708
110,704
111,704
112,710
113,719
114,728
115,737
116,748
117,743
118,742
119,748
120,745
121,737
122,725
123,716
124,718
125,713
126,703
127,706
128,703
129,720
130,724
131,732
132,741
133,744
134,747
135,748
136,739
137,740
138,736
139,721
140,711
141,712
142,709
143,703
144,704
145,711
146,716
147,723
148,732
149,738
150,750
151,746
152,745
153,745
154,735
155,729
156,719
157,718
158,712
159,712
160,704
161,707
162,711
163,722
164,728
165,736
166,742
167,747
168,744
169,748
170,740
171,736
172,729
173,720
174,708
175,706
176,711
177,708
178,710
179,714
180,727
181,731
182,739
183,748
184,746
185,744
186,741
187,731
188,730
189,727
190,710
191,711
192,706
193,710
194,704
195,709
196,714
197,726
198,743
199,743
200,744
201,745
202,750
203,744
204,730
205,726
206,719
207,708
208,709
209,707
210,709
211,706
212,710
213,723
214,732
215,738
216,743
217,746
218,748
219,743
220,741
221,729
222,722
223,718
224,713
225,706
226,704
227,704
228,714
229,715
230,728
231,734
232,742
233,744
234,744
235,750
236,742
237,735
238,725
239,724
240,712
241,708
242,706
243,705
244,702
245,712
246,720
247,731
248,738
249,740
250,745
251,746
252,744
253,740
254,739
255,723
