timestamp,data
0,746
1,748
2,740
3,736
4,729
5,726
6,714
7,705
8,703
9,706
10,706
11,713
12,716
13,726
14,734
15,745
16,745
17,743
18,744
19,745
20,733
21,724
22,711
23,714
24,708
25,707
26,702
27,712
28,718
29,732
30,734
31,737
32,748
33,746
34,742
35,745
36,739
37,736
38,722
39,712
40,712
41,713
42,710
43,706
44,710
45,721
46,724
47,738
48,736
49,746
50,745
51,747
52,737
53,737
54,732
55,720
56,708
57,708
58,708
59,706
60,710
61,711
62,719
63,735
64,742
65,742
66,747
67,746
68,745
69,737
70,736
71,720
72,722
73,713
74,702
75,701
76,707
77,708
78,722
79,727
80,734
81,740
82,750
83,746
84,742
85,746
86,734
87,727
88,717
89,715
90,713
91,708
92,714
93,703
94,708
95,728
96,732
97,732
98,737
99,746
100,750
101,744
102,740
103,732
104,727
105,724
106,711
107,704
108,704
109,706
110,709
111,714
112,721
113,732
114,740
115,744
116,740
117,750
118,741
119,738
120,728
121,722
122,711
123,709
124,706
125,703
126,709
127,712
128,722
129,728
130,736
131,740
132,746
133,744
134,748
135,740
136,730
137,723
138,719
139,711
140,711
141,703
142,708
143,709
144,713
145,725
146,730
147,740
148,742
149,750
150,743
151,745
152,743
153,731
154,721
155,715
156,711
157,704
158,705
159,711
160,715
161,720
162,727
163,740
164,741
165,750
166,742
167,743
168,747
169,733
170,723
171,724
172,714
173,713
174,707
175,704
176,704
177,714
178,719
179,734
180,734
181,744
182,746
183,751
184,739
185,739
186,733
187,722
188,715
189,710
190,705
191,707
192,712
193,708
194,720
195,728
196,734
197,739
198,743
199,747
200,752
201,740
202,736
203,738
204,722
205,709
206,707
207,707
208,708
209,706
210,712
211,720
212,732
213,736
214,744
215,747
216,741
217,744
218,748
219,732
220,728
221,721
222,717
223,704
224,702
225,705
226,714
227,722
228,726
229,730
230,738
231,744
232,745
233,747
234,744
235,740
236,727
237,720
238,712
239,716
240,712
241,708
242,705
243,710
244,718
245,732
246,741
247,740
248,743
249,744
250,745
251,739
252,735
253,728
254,720
255,715
