timestamp,data
0,755
1,758
2,759
3,748
4,744
5,738
6,729
7,722
8,720
9,717
10,720
11,728
12,732
13,736
14,745
15,756
16,759
17,761
18,762
19,752
20,744
21,745
22,732
23,728
24,723
25,718
26,716
27,726
28,729
29,733
30,744
31,746
32,759
33,757
34,762
35,758
36,753
37,746
38,734
39,734
40,724
41,718
42,718
43,722
44,727
45,729
46,736
47,741
48,750
49,753
50,758
51,756
52,752
53,747
54,739
55,738
56,732
57,719
58,715
59,719
60,720
61,731
62,735
63,743
64,750
65,752
66,755
67,759
68,758
69,754
70,741
71,742
72,734
73,725
74,718
75,718
76,721
77,726
78,729
79,736
80,747
81,755
82,755
83,758
84,762
85,750
86,752
87,740
88,738
89,728
90,721
91,719
92,723
93,714
94,726
95,734
96,742
97,745
98,755
99,753
100,764
101,756
102,749
103,746
104,742
105,733
106,726
107,721
108,720
109,724
110,718
111,728
112,738
113,741
114,749
115,759
116,756
117,759
118,756
119,747
120,746
121,738
122,730
123,721
124,726
125,715
126,720
127,718
128,732
129,741
130,741
131,754
132,759
133,756
134,758
135,751
136,748
137,744
138,733
139,726
140,720
141,719
142,722
143,715
144,728
145,738
146,740
147,746
148,754
149,756
150,759
151,754
152,753
153,746
154,735
155,733
156,731
157,720
158,724
159,724
160,722
161,731
162,739
163,740
164,755
165,754
166,758
167,758
168,750
169,751
170,742
171,732
172,725
173,729
174,718
175,717
176,723
177,729
178,730
179,740
180,749
181,751
182,761
183,759
184,762
185,753
186,748
187,740
188,729
189,730
190,724
191,720
192,719
193,727
194,728
195,732
196,742
197,748
198,756
199,753
200,758
201,760
202,749
203,746
204,738
205,728
206,724
207,718
208,719
209,722
210,726
211,737
212,739
213,748
214,752
215,755
216,764
217,754
218,757
219,748
220,738
221,733
222,725
223,722
224,720
225,721
226,714
227,730
228,738
229,737
230,749
231,757
232,759
233,758
234,756
235,750
236,746
237,735
238,730
239,730
240,717
241,717
242,721
243,727
244,726
245,739
246,744
247,750
248,756
249,756
250,765
251,750
252,749
253,739
254,732
255,732
