timestamp,data
0,719
1,717
2,729
3,741
4,743
5,746
6,753
7,759
8,757
9,757
10,748
11,744
12,739
13,720
14,723
15,719
16,718
17,716
18,724
19,732
20,737
21,742
22,753
23,757
24,755
25,758
26,755
27,741
28,740
29,731
30,728
31,716
32,717
33,718
34,725
35,728
36,729
37,740
38,752
39,757
40,754
41,756
42,758
43,745
44,740
45,735
46,725
47,722
48,717
49,715
50,717
51,722
52,725
53,740
54,749
55,746
56,757
57,758
58,757
59,754
60,750
61,738
62,734
63,726
64,724
65,718
66,711
67,717
68,728
69,736
70,737
71,751
72,756
73,755
74,757
75,756
76,751
77,743
78,742
79,732
80,720
81,720
82,722
83,720
84,723
85,730
86,736
87,744
88,752
89,757
90,752
91,756
92,752
93,749
94,741
95,731
96,725
97,721
98,715
99,718
100,720
101,726
102,734
103,735
104,748
105,756
106,760
107,756
108,753
109,752
110,745
111,739
112,730
113,721
114,719
115,718
116,720
117,722
118,728
119,736
120,743
121,749
122,758
123,754
124,759
125,758
126,752
127,739
128,737
129,725
130,720
131,720
132,721
133,718
134,721
135,734
136,738
137,747
138,754
139,754
140,754
141,759
142,752
143,746
144,739
145,736
146,720
147,717
148,720
149,716
150,720
151,728
152,730
153,738
154,749
155,755
156,758
157,754
158,751
159,750
160,739
161,736
162,724
163,725
164,719
165,722
166,717
167,725
168,730
169,739
170,743
171,746
172,754
173,752
174,763
175,754
176,747
177,740
178,726
179,727
180,724
181,720
182,716
183,724
184,732
185,731
186,740
187,748
188,750
189,751
190,756
191,759
192,748
193,742
194,737
195,723
196,723
197,722
198,721
199,718
200,724
201,732
202,737
203,742
204,753
205,754
206,753
207,760
208,756
209,752
210,744
211,734
212,728
213,721
214,716
215,719
216,722
217,723
218,732
219,737
220,748
221,749
222,757
223,758
224,755
225,753
226,744
227,733
228,731
229,722
230,725
231,720
232,714
233,724
234,728
235,735
236,747
237,747
238,753
239,758
240,760
241,756
242,751
243,741
244,736
245,722
246,718
247,722
248,723
249,718
250,721
251,728
252,746
253,744
254,751
255,753
